Object                                   Vmag   Distance_Mpc
WINGSJ222855.41-304606.9              19.7200     9.8810e+02
WINGSJ214715.15-434558.3              19.5300     6.9695e+02
WINGSJ214755.17-433920.4              19.3000     7.6173e+02
PGC3222346                            18.3700     4.7119e+02
WINGSJ214622.68-440054.6              19.3700     1.1350e+02
WINGSJ214542.63-435945.6              18.8700     2.8171e+02
WINGSJ214706.88-434403.9              19.5600     1.0042e+03
WINGSJ214601.42-440642.7              19.6500     6.4150e+02
WINGSJ214610.58-435047.4              19.8900     2.5966e+02
PGC2800222                            16.6500     3.1637e+02
PGC3225646                            18.4100     9.0365e+02
PGC141698                             15.1100     2.5894e+02
PGC141700                             17.0200     2.4244e+02
WINGSJ222806.27-303526.6              19.5100     2.6903e+02
PGC3222365                            18.3200     2.5704e+02
PGC2800235                            18.1600     6.4239e+02
PGC3222354                            18.3300     2.5363e+02
WINGSJ214552.70-435933.0              18.6400     4.6903e+02
PGC541435                             16.0100     2.8510e+02
WINGSJ214700.12-440021.1              19.3400     2.7504e+02
WINGSJ222640.19-304619.6              19.3300     1.3861e+03
PGC141703                             16.1900     2.5504e+02
WINGSJ214623.16-433811.7              19.9800     7.2510e+02
WINGSJ222836.88-303545.3              19.1300     7.6419e+02
WINGSJ214540.15-435136.9              19.1900     1.0116e+03
WINGSJ222738.20-302660.0              18.1600     6.2230e+02
WINGSJ214626.45-435044.5              19.6500     2.8314e+02
WINGSJ214535.31-433922.0              18.4300     2.8106e+02
WINGSJ222636.64-302049.5              19.5700     9.3713e+02
PGC141684                             15.5800     2.5704e+02
WINGSJ214624.04-435625.5              19.5300     2.6497e+02
WINGSJ214744.43-434247.1              18.9900     1.3502e+03
WINGSJ222906.84-303146.0              19.8200     2.3464e+03
WINGSJ222639.42-304253.9              18.7800     2.6170e+02
WINGSJ222654.03-302547.1              18.9000     1.5610e+03
WINGSJ214736.45-435453.1              18.5200     2.8041e+02
WINGSJ214548.87-435902.4              18.3400     4.6989e+02
WINGSJ214558.75-440619.4              20.0000     2.8920e+02
WINGSJ214730.09-435535.8              19.9200     2.9322e+02
WINGSJ214541.09-434222.5              19.5500     6.8802e+02
WINGSJ214600.95-434529.4              18.2000     2.7772e+02
PGC716295                             17.2200     2.7504e+02
PGC712538                             17.0700     2.6170e+02
WINGSJ222711.61-304047.7              19.8700     1.7187e+03
WINGSJ214824.86-440723.8              19.4300     7.8199e+02
WINGSJ222901.78-301956.6              18.8100     8.3599e+02
WINGSJ214734.88-435642.5              18.8400     1.0023e+03
WINGSJ214818.00-440043.1              19.0200     2.8041e+02
WINGSJ214633.04-434037.2              19.8500     1.3483e+03
WINGSJ222655.78-303834.7              19.4700     9.8992e+02
WINGSJ214702.86-435830.8              18.7100     2.7365e+02
WINGSJ214539.64-434121.9              19.7900     2.8445e+02
WINGSJ214718.61-440057.1              19.7200     2.6632e+02
WINGSJ214555.06-434632.5              19.6600     6.8140e+02
WINGSJ222706.78-305005.7              20.3800     3.4674e+02
PGC141687                             15.9800     2.4110e+02
WINGSJ214727.71-434300.6              19.2500     2.8708e+02
WINGSJ214659.21-434856.2              18.7400     2.9188e+02
PGC3222329                            18.1400     2.5562e+02
WINGSJ214533.05-435239.8              19.4100     8.4023e+02
WINGSJ222702.22-303551.4              19.0500     6.9375e+02
PGC3222298                            18.5300     2.6230e+02
WINGSJ222735.58-303723.6              19.5000     2.6098e+02
WINGSJ214709.98-440531.0              18.5300     4.5878e+02
WINGSJ214707.45-434747.4              19.5000     1.3621e+03
WINGSJ214523.75-435110.5              19.4500     8.3946e+02
WINGSJ222826.18-304904.3              19.3000     1.2274e+03
PGC3222361                            18.7900     2.6693e+02
NGC7014                               12.3130     6.7050e+01
PGC089166                             17.2000     1.0760e+03
NGC7184                               11.0030     3.7549e+01
ESO287-013                            12.5430     3.6966e+01
IC5105A                               12.9120     7.1812e+01
IC5179                                12.0330     4.7534e+01
PGC741517                             17.9000     1.4488e+03
PGC764153                             14.6000     5.9375e+02
PGC766293                             16.3400     5.1785e+02
PGC2793984                            19.1400     9.3111e+02
PGC2793986                            18.3400     8.7660e+02
PGC2800229                            19.7700     2.8642e+02
PGC2800231                            17.5100     2.6903e+02
PGC2800234                            17.3300     2.7164e+02
PGC2800236                            16.5800     2.6303e+02
PGC2800237                            16.3100     2.6829e+02
PGC2800239                            17.2800     2.8041e+02
PGC2800242                            16.6500     2.8314e+02
PGC2800243                            15.8100     2.7631e+02
PGC2830552                            20.3000     1.1041e+04
PGC2830665                            18.1000     1.0299e+04
PGC2830801                            19.3000     3.3760e+03
PGC2830822                            16.4700     6.1010e+03
PGC2830881                            18.1000     2.8275e+03
PGC2830969                            19.8000     3.5992e+03
PGC2830983                            20.3000     5.8103e+03
PGC2830997                            18.0600     2.2223e+03
PGC2831149                            20.1000     5.2240e+03
PGC2831237                            19.0000     1.3348e+04
PGC2831244                            20.0000     1.9724e+04
